Нарушение																												Число вхождений
Нет нарушений                                                                                                                                                                                                                                      3750
Неправильный выбор дистанции                                                                                                                                                                                                                       1137
Нарушение правил проезда пешеходного перехода                                                                                                                                                                                                       970
Несоблюдение очередности проезда                                                                                                                                                                                                                    962
Несоответствие скорости конкретным условиям движения                                                                                                                                                                                                765
Нарушение правил перестроения                                                                                                                                                                                                                       405
Несоблюдение условий, разрешающих движение транспорта задним ходом                                                                                                                                                                                  317
Нарушение требований сигналов светофора                                                                                                                                                                                                             290
Нарушение правил пользования общественным транспортом                                                                                                                                                                                               221
Выезд на полосу встречного движения                                                                                                                                                                                                                 132
Нарушение правил расположения ТС на проезжей части                                                                                                                                                                                                  128
Непредоставление преимущества в движении пешеходу                                                                                                                                                                                                    87
Несоблюдение бокового интервала                                                                                                                                                                                                                      84
Другие нарушения ПДД водителем                                                                                                                                                                                                                       42
Нарушение требований дорожных знаков                                                                                                                                                                                                                 36
Нарушение правил проезда остановок трамвая                                                                                                                                                                                                           20
Нарушение правил перевозки людей                                                                                                                                                                                                                     15
Нарушение правил остановки и стоянки                                                                                                                                                                                                                 12
Пересечение велосипедистом проезжей части по пешеходному переходу                                                                                                                                                                                    11
Оставление движущегося транспортного средства (выход или выпрыгивание на ходу и т.д.)                                                                                                                                                                 9
Невыполнение требований обеспечения безопасности при начале движения                                                                                                                                                                                  9
Выезд на полосу встречного движения с разворотом, поворотом налево или объездом препятствия                                                                                                                                                           9
Нарушение требований линий разметки                                                                                                                                                                                                                   8
Непредоставление преимущества в движении ТС, имеющему нанесенные на наружные поверхности специальные цветографические схемы, надписи и обозначения, с одновременно включённым проблесковым маячком синего цвета и специальным звуковым сигналом       7
Выезд на полосу встречного движения в местах, где это запрещено                                                                                                                                                                                       6
Разворот в местах, где разворот запрещён                                                                                                                                                                                                              5
Передвижение по проезжей части на скейтборде (роликовых коньках и т.д.)                                                                                                                                                                               4
Другие нарушения ПДД водителями (не применяется с 12.2020)                                                                                                                                                                                            3
Нарушение правил погрузки, выгрузки и крепления грузов                                                                                                                                                                                                2
Нарушение требований сигналов регулировщика                                                                                                                                                                                                           2
Движение во встречном направлении по дороге с односторонним движением                                                                                                                                                                                 2
Иные нарушения                                                                                                                                                                                                                                        2
Нарушение правил проезда ж/д переездов                                                                                                                                                                                                                2
Неподача или неправильная подача сигналов поворота                                                                                                                                                                                                    1
Нарушение правил буксировки                                                                                                                                                                                                                           1
Эксплуатация ТС с техническими неисправностями, при которых запрещается их эксплуатация                                                                                                                                                               1
Нарушение правил движения тяжеловесного и(или) крупногабаритного ТС(превышение допустимых габаритов ТС, превышением допустимой массы ТС или допустимой нагрузки на ось ТС)                                                                            1
Неподчинение сигналам регулирования                                                                                                                                                                                                                   1
Превышение установленной скорости движения                                                                                                                                                                                                            1
Нарушение правил обгона                                                                                                                                                                                                                               1
Нарушение правил при круговом движении                                                                                                                                                                                                                1
